timestamp_utc,context_time,message_item_uri,message_set,message_client_platform,message_item_uri_kind,month,day_of_week,season,is_weekend,time_of_day
2024-12-02 19:28:33.257000+00:00,1733167713257,spotify:track:2wBnZdVWa5jVpvYRfGU7rP,collection,,,12,Monday,Winter,False,Evening
2024-11-23 21:13:46.605000+00:00,1732396426605,spotify:track:26qhdui9gR434wQs38ggD2,collection,,,11,Saturday,Autumn,True,Night
2024-09-18 14:08:39.368000+00:00,1726668519368,spotify:album:5xiePX6kXj5ZsmUsqIqzeD,collection,,,9,Wednesday,Autumn,False,Afternoon
2024-09-18 14:25:39.373000+00:00,1726669539373,spotify:track:3AJwUDP919kvQ9QcozQPxg,collection,,,9,Wednesday,Autumn,False,Afternoon
2024-11-25 17:01:41.508000+00:00,1732554101508,spotify:track:3aXTeIVnDvo2MT1xLTdGK3,collection,,,11,Monday,Autumn,False,Evening
2024-12-22 21:08:37.868000+00:00,1734901717868,spotify:track:45NAIrP6VpZC69ESkVQmQl,collection,,,12,Sunday,Winter,True,Night
2024-09-12 13:54:43.440000+00:00,1726149283440,spotify:track:5dOgGCH0aO7PqlCsHTULyL,collection,,,9,Thursday,Autumn,False,Afternoon
2024-11-27 14:03:15.163000+00:00,1732716195163,spotify:track:66ooaEstAKy5uBGBHIqcfM,collection,,,11,Wednesday,Autumn,False,Afternoon
2024-09-25 18:21:19.563000+00:00,1727288479563,spotify:track:6LAlCuIqVod6A4k4v02hB6,collection,,,9,Wednesday,Autumn,False,Evening
2024-09-05 14:08:18.475000+00:00,1725545298475,spotify:album:0ETFjACtuP2ADo6LFhL6HN,collection,,,9,Thursday,Autumn,False,Afternoon
2024-11-25 19:25:13.762000+00:00,1732562713762,spotify:track:4reNFAKWdv4VlwCQDDmXVP,collection,,,11,Monday,Autumn,False,Evening
2024-09-18 13:55:52.097000+00:00,1726667752097,spotify:track:07q0QVgO56EorrSGHC48y3,collection,,,9,Wednesday,Autumn,False,Afternoon
2024-09-05 14:08:04.703000+00:00,1725545284703,spotify:track:0lMBEX91KENiRH97xJ4aCa,collection,,,9,Thursday,Autumn,False,Afternoon
2024-09-03 18:07:45.585000+00:00,1725386865585,spotify:album:7y8c7gPYKbSq3mofsKJ1y8,collection,,,9,Tuesday,Autumn,False,Evening
2024-09-07 12:13:45.018000+00:00,1725711225018,spotify:track:4ZoXVBJRFlQzm33tkb5jPx,collection,,,9,Saturday,Autumn,True,Afternoon
2024-09-04 11:20:24.425000+00:00,1725448824425,spotify:track:5hXlm2EqaBzdF5mEbWk21u,collection,,,9,Wednesday,Autumn,False,Morning
2024-09-19 20:18:12.468000+00:00,1726777092468,spotify:track:08wnKJc8wcvwnYbi2eWSb0,collection,,,9,Thursday,Autumn,False,Evening
2024-12-04 21:51:57.729000+00:00,1733349117729,,,43.0,start-group,12,Wednesday,Winter,False,Night
2024-12-04 21:51:17.938000+00:00,1733349077938,,,43.0,start-group,12,Wednesday,Winter,False,Night
2024-09-30 21:43:31.627000+00:00,1727732611627,spotify:playlist:5pWvGHhy9GAyvWiyVYw5vT,,36.0,playlist_v2,9,Monday,Autumn,False,Night
2024-11-14 13:23:24.093000+00:00,1731590604093,spotify:playlist:4rQqizGUmWIg3DIARnYFFe,,36.0,playlist_v2,11,Thursday,Autumn,False,Afternoon
2024-12-04 19:30:14.917000+00:00,1733340614917,spotify:playlist:37i9dQZF1FoyQGyinuuvRu,,36.0,playlist_v2,12,Wednesday,Winter,False,Evening
2024-12-04 21:51:17.938000+00:00,1733349077938,,,43.0,end-group,12,Wednesday,Winter,False,Night
